trial_id,run_id,task_id,family,complexity,arm,model,provider,seed,epoch,configured_executor_quality,success,catastrophic,requirement_accuracy,failed_requirement_ids,failure_reasons,terminal_status,candidate_attempts,rejections,accepted_candidate_id,budget_exhausted,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_tokens,total_model_latency_s,end_to_end_latency_s,audit_tp,audit_tn,audit_fp,audit_fn,injected_faults
trial-0278d95086cefc384b,decisive-20260831-054125,state-L1-223785817c2f,state,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.5,"[""r2""]","[""fault:wrong_value"", ""requirement:r2""]",FAILED,1,0,cand-12d5ca2913ba,False,0,0,0,0,0,0.00015869998605921865,0,0,0,0,"[""wrong_value""]"
trial-99c7f5bc646d110cf4,decisive-20260831-054125,state-L1-223785817c2f,state,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.4,False,False,0.5,"[""r1""]","[""fault:unintended_side_effect+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-e2b766e31801,False,0,0,0,0,0,0.00013609998859465122,0,0,0,0,"[""unintended_side_effect+forced_requirement_violation""]"
trial-16ca2bfe523494540c,decisive-20260831-054125,state-L1-223785817c2f,state,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.5,"[""r1""]","[""fault:unintended_side_effect+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-ea8089d18aa5,False,0,0,0,0,0,0.00010409997776150703,0,0,0,0,"[""unintended_side_effect+forced_requirement_violation""]"
trial-75e419716d2e01fb5a,decisive-20260831-054125,state-L1-223785817c2f,state,1,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.4,False,False,0.5,"[""r1""]","[""fault:unintended_side_effect+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-e2b766e31801,False,0,0,0,0,0,0.00012050004443153739,0,0,1,0,"[""unintended_side_effect+forced_requirement_violation""]"
trial-ed6da59e82b3c1b47f,decisive-20260831-054125,state-L1-223785817c2f,state,1,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.5,"[""r1""]","[""fault:unintended_side_effect+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-ea8089d18aa5,False,0,0,0,0,0,0.00013539998326450586,0,0,1,0,"[""unintended_side_effect+forced_requirement_violation""]"
trial-651ca381b745dca076,decisive-20260831-054125,state-L2-fd1c5ee02097,state,2,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.8,"[""r5""]","[""fault:wrong_value"", ""requirement:r5""]",FAILED,1,0,cand-95659dd97eb6,False,0,0,0,0,0,0.00016960001084953547,0,0,0,0,"[""wrong_value""]"
trial-ed540d072d4aa6a925,decisive-20260831-054125,state-L2-fd1c5ee02097,state,2,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.8,"[""r1""]","[""fault:unintended_side_effect+forced_requirement_violation"", ""requirement:r1""]",FAILED,2,1,cand-55fe5192ca4d,False,0,0,0,0,0,0.0003440000000409782,0,1,1,0,"[""unintended_side_effect+forced_requirement_violation"", ""wrong_value""]"
trial-7f944df64f6622e716,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.875,"[""r3""]","[""fault:wrong_value"", ""requirement:r3""]",FAILED,1,0,cand-cce289bd7a07,False,0,0,0,0,0,0.00014359998749569058,0,0,0,0,"[""wrong_value""]"
trial-22f264ddd468528b28,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.875,"[""r2""]","[""fault:omitted_requirement"", ""requirement:r2""]",FAILED,1,0,cand-ccd710940a8f,False,0,0,0,0,0,0.00013729999773204327,0,0,0,0,"[""omitted_requirement""]"
trial-cae616eaa58a10dc6e,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.875,"[""r3""]","[""fault:wrong_value"", ""requirement:r3""]",FAILED,1,0,cand-cce289bd7a07,False,0,0,0,0,0,0.0002500999835319817,0,0,1,0,"[""wrong_value""]"
trial-1b9e9f4d59e8e2eaf3,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.875,"[""r2""]","[""fault:omitted_requirement"", ""requirement:r2""]",FAILED,1,0,cand-ccd710940a8f,False,0,0,0,0,0,0.00020350003615021706,0,0,1,0,"[""omitted_requirement""]"
trial-7eccde302adbe403b6,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.8,False,False,1.0,[],"[""rejected_all""]",REJECTED_ALL,3,3,,False,0,0,0,0,0,0.00031869998201727867,0,0,0,3,[]
trial-40f6f6c4d838fced3b,decisive-20260831-054125,state-L3-2618991c7c4a,state,3,F_ORACLE_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.875,"[""r4""]","[""rejected_all""]",REJECTED_ALL,3,3,,False,0,0,0,0,0,0.0004523000097833574,0,3,0,0,"[""omitted_requirement"", ""wrong_value""]"
trial-4a574161ae36ccb891,decisive-20260831-054125,state-L4-e6b56ba4d4dc,state,4,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.9090909090909091,"[""r3""]","[""fault:omitted_requirement"", ""requirement:r3""]",FAILED,1,0,cand-c92574ac44bf,False,0,0,0,0,0,0.0002201999886892736,0,0,0,0,"[""omitted_requirement""]"
trial-2d1e13e0ac7764217b,decisive-20260831-054125,state-L4-e6b56ba4d4dc,state,4,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.9090909090909091,"[""r3""]","[""fault:omitted_requirement"", ""requirement:r3""]",FAILED,1,0,cand-c92574ac44bf,False,0,0,0,0,0,0.00022800004808232188,0,0,1,0,"[""omitted_requirement""]"
trial-7a106bf0d8f89f2981,decisive-20260831-054125,state-L4-e6b56ba4d4dc,state,4,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.4,False,False,1.0,[],"[""rejected_all""]",REJECTED_ALL,3,3,,False,0,0,0,0,0,0.00042339996434748173,0,0,0,3,[]
trial-538d1f9275061857d1,decisive-20260831-054125,state-L4-e6b56ba4d4dc,state,4,F_ORACLE_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.9090909090909091,"[""r1""]","[""rejected_all""]",REJECTED_ALL,3,3,,False,0,0,0,0,0,0.0007301000296138227,0,3,0,0,"[""omitted_requirement"", ""unintended_side_effect+forced_requirement_violation"", ""wrong_value""]"
trial-3240d44d3b6244b55d,decisive-20260831-054125,policy-L1-e7dfa68067a3,policy,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.0,"[""r1""]","[""fault:forbidden_procedure+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-8dc55e63843f,False,0,0,0,0,0,0.00010639999527484179,0,0,0,0,"[""forbidden_procedure+forced_requirement_violation""]"
trial-b06e8194ebcfe08944,decisive-20260831-054125,policy-L1-e7dfa68067a3,policy,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.0,"[""r1""]","[""fault:ordering_violation+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-49b8747089da,False,0,0,0,0,0,0.0001162000116892159,0,0,0,0,"[""ordering_violation+forced_requirement_violation""]"
trial-4bfb2da5600e6e5763,decisive-20260831-054125,policy-L1-e7dfa68067a3,policy,1,C_SYSTEM,qwen3.5:9b-q8_0,ollama,101,0,0.8,False,False,0.0,"[""r1""]","[""fault:ordering_violation+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-3df5dda04b87,False,0,0,0,0,0,0.00012320000678300858,0,0,0,0,"[""ordering_violation+forced_requirement_violation""]"
trial-a43cbafcf0e9b7ec07,decisive-20260831-054125,policy-L1-e7dfa68067a3,policy,1,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.2,False,False,0.0,"[""r1""]","[""rejected_all""]",REJECTED_ALL,3,3,,False,0,0,0,0,0,0.00030449999030679464,0,3,0,0,"[""forbidden_procedure+forced_requirement_violation"", ""unintended_side_effect+forced_requirement_violation""]"
trial-f1b3adf23e9941e250,decisive-20260831-054125,policy-L1-e7dfa68067a3,policy,1,E_RANDOM_AUDITOR,qwen3.5:9b-q8_0,ollama,101,0,0.6,False,False,0.0,"[""r1""]","[""fault:ordering_violation+forced_requirement_violation"", ""requirement:r1""]",FAILED,1,0,cand-49b8747089da,False,0,0,0,0,0,0.00011650001397356391,0,0,1,0,"[""ordering_violation+forced_requirement_violation""]"
